pitch,voltage
0.3,-0.88
0.3,-0.91
0.33,-0.79
0.31,-0.86
0.32,-0.81
0.34,-0.74
0.31,-0.87
0.32,-0.83
0.3,-0.91
0.27,-1.0
0.27,-1.03
0.28,-0.98
0.32,-0.83
0.28,-0.97
0.3,-0.9
0.26,-1.05
0.24,-1.11
0.28,-0.98
0.22,-1.2
0.36,-0.67
0.36,-0.63
0.34,-0.75
0.38,-0.59
0.36,-0.65
0.41,-0.47
0.28,-0.98
0.28,-0.99
0.3,-0.89
0.24,-1.12
0.28,-0.97
0.3,-0.9
0.3,-0.91
0.3,-0.91
0.3,-0.91
0.28,-0.98
0.25,-1.08
0.24,-1.14
0.28,-0.96
0.25,-1.1
0.27,-1.0
0.26,-1.05
0.2,-1.3
0.25,-1.11
0.25,-1.09
0.26,-1.06
0.23,-1.19
0.21,-1.24
0.22,-1.23
0.22,-1.2
0.26,-1.06
0.28,-0.99
0.3,-0.9
0.27,-1.03
0.26,-1.05
0.3,-0.89
0.29,-0.92
0.33,-0.79
0.36,-0.66
0.34,-0.75
0.32,-0.81
0.31,-0.86
0.32,-0.82
0.33,-0.79
0.32,-0.82
0.31,-0.85
0.25,-1.1
0.33,-0.79
0.33,-0.79
0.3,-0.89
0.3,-0.88
0.32,-0.83
0.34,-0.73
0.39,-0.52
0.42,-0.41
0.37,-0.63
0.48,-0.16
0.44,-0.34
0.49,-0.15
0.52,-0.01
0.51,-0.06
0.53,0.01
0.54,0.06
0.52,-0.0
0.48,-0.16
0.51,-0.04
0.42,-0.4
0.42,-0.4
0.42,-0.4
0.42,-0.41
0.46,-0.24
0.47,-0.21
0.45,-0.29
0.43,-0.36
0.42,-0.42
0.42,-0.4
0.44,-0.33
0.45,-0.28
0.46,-0.25
0.46,-0.25
0.45,-0.28
0.47,-0.23
0.5,-0.09
0.53,0.02
0.55,0.09
0.5,-0.08
0.53,0.04
0.56,0.14
0.54,0.06
0.55,0.12
0.55,0.11
0.54,0.07
0.51,-0.05
0.46,-0.26
0.43,-0.36
0.44,-0.35
0.41,-0.44
0.39,-0.52
0.39,-0.55
0.37,-0.63
0.38,-0.59
0.42,-0.42
0.48,-0.17
0.5,-0.1
0.49,-0.14
0.45,-0.28
0.4,-0.48
0.4,-0.49
0.45,-0.29
0.43,-0.36
0.49,-0.14
0.47,-0.21
0.45,-0.3
0.47,-0.21
0.46,-0.26
0.46,-0.26
0.5,-0.1
0.51,-0.05
0.55,0.09
0.56,0.16
0.57,0.2
0.59,0.27
0.6,0.29
0.63,0.41
0.64,0.46
0.64,0.48
0.61,0.35
0.59,0.27
0.6,0.32
0.64,0.47
0.66,0.56
0.67,0.59
0.68,0.63
0.69,0.65
0.68,0.62
0.68,0.64
0.66,0.57
0.6,0.32
0.6,0.31
0.68,0.63
0.68,0.62
0.61,0.33
0.57,0.17
0.64,0.47
0.69,0.65
0.69,0.65
0.6,0.3
0.55,0.11
0.62,0.38
0.66,0.55
0.64,0.47
0.58,0.23
0.59,0.26
0.62,0.38
